number,code,browser,shortname
446,U+1F48F,💏,kiss
447,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👩‍❤️‍💋‍👨,"kiss: woman, man"
448,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👨‍❤️‍💋‍👨,"kiss: man, man"
449,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,👩‍❤️‍💋‍👩,"kiss: woman, woman"
450,U+1F491,💑,couple with heart
451,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,👩‍❤️‍👨,"couple with heart: woman, man"
452,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,👨‍❤️‍👨,"couple with heart: man, man"
453,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,👩‍❤️‍👩,"couple with heart: woman, woman"
454,U+1F46A,👪,family
455,U+1F468 U+200D U+1F469 U+200D U+1F466,👨‍👩‍👦,"family: man, woman, boy"
456,U+1F468 U+200D U+1F469 U+200D U+1F467,👨‍👩‍👧,"family: man, woman, girl"
457,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👨‍👩‍👧‍👦,"family: man, woman, girl, boy"
458,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👨‍👩‍👦‍👦,"family: man, woman, boy, boy"
459,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👨‍👩‍👧‍👧,"family: man, woman, girl, girl"
460,U+1F468 U+200D U+1F468 U+200D U+1F466,👨‍👨‍👦,"family: man, man, boy"
461,U+1F468 U+200D U+1F468 U+200D U+1F467,👨‍👨‍👧,"family: man, man, girl"
462,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👨‍👧‍👦,"family: man, man, girl, boy"
463,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👨‍👦‍👦,"family: man, man, boy, boy"
464,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👨‍👧‍👧,"family: man, man, girl, girl"
465,U+1F469 U+200D U+1F469 U+200D U+1F466,👩‍👩‍👦,"family: woman, woman, boy"
466,U+1F469 U+200D U+1F469 U+200D U+1F467,👩‍👩‍👧,"family: woman, woman, girl"
467,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👩‍👧‍👦,"family: woman, woman, girl, boy"
468,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👩‍👦‍👦,"family: woman, woman, boy, boy"
469,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👩‍👧‍👧,"family: woman, woman, girl, girl"
470,U+1F468 U+200D U+1F466,👨‍👦,"family: man, boy"
471,U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👦‍👦,"family: man, boy, boy"
472,U+1F468 U+200D U+1F467,👨‍👧,"family: man, girl"
473,U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👧‍👦,"family: man, girl, boy"
474,U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👧‍👧,"family: man, girl, girl"
475,U+1F469 U+200D U+1F466,👩‍👦,"family: woman, boy"
476,U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👦‍👦,"family: woman, boy, boy"
477,U+1F469 U+200D U+1F467,👩‍👧,"family: woman, girl"
478,U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👧‍👦,"family: woman, girl, boy"
479,U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👧‍👧,"family: woman, girl, girl"
480,U+1F5E3,🗣,speaking head
481,U+1F464,👤,bust in silhouette
482,U+1F465,👥,busts in silhouette
483,U+1F463,👣,footprints
488,U+1F435,🐵,monkey face
489,U+1F412,🐒,monkey
490,U+1F98D,🦍,gorilla
492,U+1F436,🐶,dog face
493,U+1F415,🐕,dog
496,U+1F429,🐩,poodle
497,U+1F43A,🐺,wolf
498,U+1F98A,🦊,fox
500,U+1F431,🐱,cat face
501,U+1F408,🐈,cat
502,U+1F981,🦁,lion
503,U+1F42F,🐯,tiger face
504,U+1F405,🐅,tiger
505,U+1F406,🐆,leopard
506,U+1F434,🐴,horse face
507,U+1F40E,🐎,horse
508,U+1F984,🦄,unicorn
510,U+1F98C,🦌,deer
511,U+1F42E,🐮,cow face
512,U+1F402,🐂,ox
513,U+1F403,🐃,water buffalo
514,U+1F404,🐄,cow
515,U+1F437,🐷,pig face
516,U+1F416,🐖,pig
517,U+1F417,🐗,boar
518,U+1F43D,🐽,pig nose
519,U+1F40F,🐏,ram
520,U+1F411,🐑,ewe
521,U+1F410,🐐,goat
522,U+1F42A,🐪,camel
523,U+1F42B,🐫,two-hump camel
526,U+1F418,🐘,elephant
527,U+1F98F,🦏,rhinoceros
529,U+1F42D,🐭,mouse face
530,U+1F401,🐁,mouse
531,U+1F400,🐀,rat
532,U+1F439,🐹,hamster
533,U+1F430,🐰,rabbit face
534,U+1F407,🐇,rabbit
535,U+1F43F,🐿,chipmunk
537,U+1F987,🦇,bat
538,U+1F43B,🐻,bear
539,U+1F428,🐨,koala
540,U+1F43C,🐼,panda
546,U+1F43E,🐾,paw prints
547,U+1F983,🦃,turkey
548,U+1F414,🐔,chicken
549,U+1F413,🐓,rooster
550,U+1F423,🐣,hatching chick
551,U+1F424,🐤,baby chick
552,U+1F425,🐥,front-facing baby chick
553,U+1F426,🐦,bird
554,U+1F427,🐧,penguin
555,U+1F54A,🕊,dove
556,U+1F985,🦅,eagle
557,U+1F986,🦆,duck
559,U+1F989,🦉,owl
563,U+1F438,🐸,frog
564,U+1F40A,🐊,crocodile
565,U+1F422,🐢,turtle
566,U+1F98E,🦎,lizard
567,U+1F40D,🐍,snake
568,U+1F432,🐲,dragon face
569,U+1F409,🐉,dragon
572,U+1F433,🐳,spouting whale
573,U+1F40B,🐋,whale
574,U+1F42C,🐬,dolphin
575,U+1F41F,🐟,fish
576,U+1F420,🐠,tropical fish
577,U+1F421,🐡,blowfish
578,U+1F988,🦈,shark
579,U+1F419,🐙,octopus
580,U+1F41A,🐚,spiral shell
581,U+1F40C,🐌,snail
582,U+1F98B,🦋,butterfly
583,U+1F41B,🐛,bug
584,U+1F41C,🐜,ant
585,U+1F41D,🐝,honeybee
586,U+1F41E,🐞,lady beetle
588,U+1F577,🕷,spider
589,U+1F578,🕸,spider web
590,U+1F982,🦂,scorpion
593,U+1F490,💐,bouquet
594,U+1F338,🌸,cherry blossom
595,U+1F4AE,💮,white flower
596,U+1F3F5,🏵,rosette
597,U+1F339,🌹,rose
598,U+1F940,🥀,wilted flower
599,U+1F33A,🌺,hibiscus
600,U+1F33B,🌻,sunflower
601,U+1F33C,🌼,blossom
602,U+1F337,🌷,tulip
603,U+1F331,🌱,seedling
604,U+1F332,🌲,evergreen tree
605,U+1F333,🌳,deciduous tree
606,U+1F334,🌴,palm tree
607,U+1F335,🌵,cactus
608,U+1F33E,🌾,sheaf of rice
609,U+1F33F,🌿,herb
610,U+2618,☘,shamrock
611,U+1F340,🍀,four leaf clover
612,U+1F341,🍁,maple leaf
613,U+1F342,🍂,fallen leaf
614,U+1F343,🍃,leaf fluttering in wind
615,U+1F347,🍇,grapes
616,U+1F348,🍈,melon
617,U+1F349,🍉,watermelon
618,U+1F34A,🍊,tangerine
619,U+1F34B,🍋,lemon
620,U+1F34C,🍌,banana
621,U+1F34D,🍍,pineapple
623,U+1F34E,🍎,red apple
624,U+1F34F,🍏,green apple
625,U+1F350,🍐,pear
626,U+1F351,🍑,peach
627,U+1F352,🍒,cherries
628,U+1F353,🍓,strawberry
629,U+1F95D,🥝,kiwi fruit
630,U+1F345,🍅,tomato
632,U+1F951,🥑,avocado
633,U+1F346,🍆,eggplant
634,U+1F954,🥔,potato
635,U+1F955,🥕,carrot
636,U+1F33D,🌽,ear of corn
637,U+1F336,🌶,hot pepper
638,U+1F952,🥒,cucumber
643,U+1F344,🍄,mushroom
644,U+1F95C,🥜,peanuts
645,U+1F330,🌰,chestnut
646,U+1F35E,🍞,bread
647,U+1F950,🥐,croissant
648,U+1F956,🥖,baguette bread
651,U+1F95E,🥞,pancakes
653,U+1F9C0,🧀,cheese wedge
654,U+1F356,🍖,meat on bone
655,U+1F357,🍗,poultry leg
657,U+1F953,🥓,bacon
658,U+1F354,🍔,hamburger
659,U+1F35F,🍟,french fries
660,U+1F355,🍕,pizza
661,U+1F32D,🌭,hot dog
663,U+1F32E,🌮,taco
664,U+1F32F,🌯,burrito
665,U+1F959,🥙,stuffed flatbread
667,U+1F95A,🥚,egg
668,U+1F373,🍳,cooking
669,U+1F958,🥘,shallow pan of food
670,U+1F372,🍲,pot of food
672,U+1F957,🥗,green salad
673,U+1F37F,🍿,popcorn
677,U+1F371,🍱,bento box
678,U+1F358,🍘,rice cracker
679,U+1F359,🍙,rice ball
680,U+1F35A,🍚,cooked rice
681,U+1F35B,🍛,curry rice
682,U+1F35C,🍜,steaming bowl
683,U+1F35D,🍝,spaghetti
684,U+1F360,🍠,roasted sweet potato
685,U+1F362,🍢,oden
686,U+1F363,🍣,sushi
687,U+1F364,🍤,fried shrimp
688,U+1F365,🍥,fish cake with swirl
690,U+1F361,🍡,dango
694,U+1F980,🦀,crab
696,U+1F990,🦐,shrimp
697,U+1F991,🦑,squid
699,U+1F366,🍦,soft ice cream
700,U+1F367,🍧,shaved ice
701,U+1F368,🍨,ice cream
702,U+1F369,🍩,doughnut
703,U+1F36A,🍪,cookie
704,U+1F382,🎂,birthday cake
705,U+1F370,🍰,shortcake
708,U+1F36B,🍫,chocolate bar
709,U+1F36C,🍬,candy
710,U+1F36D,🍭,lollipop
711,U+1F36E,🍮,custard
712,U+1F36F,🍯,honey pot
713,U+1F37C,🍼,baby bottle
714,U+1F95B,🥛,glass of milk
715,U+2615,☕,hot beverage
716,U+1F375,🍵,teacup without handle
717,U+1F376,🍶,sake
718,U+1F37E,🍾,bottle with popping cork
719,U+1F377,🍷,wine glass
720,U+1F378,🍸,cocktail glass
721,U+1F379,🍹,tropical drink
722,U+1F37A,🍺,beer mug
723,U+1F37B,🍻,clinking beer mugs
724,U+1F942,🥂,clinking glasses
725,U+1F943,🥃,tumbler glass
731,U+1F37D,🍽,fork and knife with plate
732,U+1F374,🍴,fork and knife
733,U+1F944,🥄,spoon
734,U+1F52A,🔪,kitchen knife
735,U+1F3FA,🏺,amphora
736,U+1F30D,🌍,globe showing Europe-Africa
737,U+1F30E,🌎,globe showing Americas
738,U+1F30F,🌏,globe showing Asia-Australia
739,U+1F310,🌐,globe with meridians
740,U+1F5FA,🗺,world map
741,U+1F5FE,🗾,map of Japan
743,U+1F3D4,🏔,snow-capped mountain
744,U+26F0,⛰,mountain
745,U+1F30B,🌋,volcano
746,U+1F5FB,🗻,mount fuji
747,U+1F3D5,🏕,camping
748,U+1F3D6,🏖,beach with umbrella
749,U+1F3DC,🏜,desert
750,U+1F3DD,🏝,desert island
751,U+1F3DE,🏞,national park
752,U+1F3DF,🏟,stadium
753,U+1F3DB,🏛,classical building
754,U+1F3D7,🏗,building construction
756,U+1F3D8,🏘,houses
757,U+1F3DA,🏚,derelict house
758,U+1F3E0,🏠,house
759,U+1F3E1,🏡,house with garden
760,U+1F3E2,🏢,office building
761,U+1F3E3,🏣,Japanese post office
762,U+1F3E4,🏤,post office
763,U+1F3E5,🏥,hospital
764,U+1F3E6,🏦,bank
765,U+1F3E8,🏨,hotel
766,U+1F3E9,🏩,love hotel
767,U+1F3EA,🏪,convenience store
768,U+1F3EB,🏫,school
769,U+1F3EC,🏬,department store
770,U+1F3ED,🏭,factory
771,U+1F3EF,🏯,Japanese castle
772,U+1F3F0,🏰,castle
773,U+1F492,💒,wedding
774,U+1F5FC,🗼,Tokyo tower
775,U+1F5FD,🗽,Statue of Liberty
776,U+26EA,⛪,church
777,U+1F54C,🕌,mosque
779,U+1F54D,🕍,synagogue
780,U+26E9,⛩,shinto shrine
781,U+1F54B,🕋,kaaba
782,U+26F2,⛲,fountain
783,U+26FA,⛺,tent
784,U+1F301,🌁,foggy
